,Job Title,Location,Date,Link,Job Description,Other Job Attributes
11,stylist  needed,spring area,Feb  8,https://houston.craigslist.org/spa/d/spring-stylist-needed/7274775935.html,"

QR Code Link to This Post


In need of an enthusiastic bilingual English/Spanish hairstylist with a valid cosmetology license for a very busy hair salon family oriented in the spring area, part time offered must have some experience in fades and color  Sundays closed, great tips and commissions, affordable working hours, must apply in person. 

Maribel
281 821 5552    ","
compensation: commision

employment type: part-time

"
12,Owner Operator,Houston,Feb  8,https://houston.craigslist.org/trp/d/houston-owner-operator/7274775298.html,"

QR Code Link to This Post


America's Dry Bulk Hauler: 100% Owner OperatorCall  (844) 586-0021 to Learn More About Oakley TruckingorApply HereDRIVER BENEFITS HERE:NEW MILEAGE PAY PROGRAM BASED ON CSA SCORE! (in addition to your current mileage pay)Anniversary Bonus: start at 5¢ per loaded mileFuel surcharge paid, loaded and emptyFree permitsBase plate programSteady year-round workHonest, friendly atmosphereDIVISIONS:End Dump Division$1.72 loaded / $1.32 empty + FSC on all milesRegional and OTR routesTeam and solo drivers welcomeTerminals in North Little Rock, AR; Reserve, LA; Inola, OKRequires investment in a wet kit – provided by Oakley and installed during orientationHopper Bottom Division$1.52 loaded / $1.32 empty + FSC on all milesExtra loaded mile pay based on weight hauled per loadRegional and OTR routesTeam and solo drivers welcomeTerminals in North Little Rock, AR; Reserve, LA; Inola, OKPneumatic Division$1.84 loaded / $1.39 empty + FSC on all milesOTR routesHusband/wife teams and solo drivers welcomeTerminals in North Little Rock, AR; Reserve, LA; Inola, OKRequires investment in a blower – provided by Oakley and installed during orientationOWNER OPERATOR REQUIREMENTS HERE:2 years of driving experienceTractors older than 5 years old must be approvedDependable. Customer-friendly attitudeStrong work ethicOakley Trucking: Where Relationships are Meant to LastCall (844) 586-0021 or Apply.Get on the Road to Your Career.Your Future. Your Life. : http://randallreillycljobs.joveo.com/job_1299176698 ","
compensation: To be discussed.

employment type: full-time

"
13,CDL CLASS A REGIONAL 30% FROM GROSS,"Houston, TX",Feb  8,https://houston.craigslist.org/trp/d/houston-cdl-class-regional-30-from-gross/7274772516.html,"

QR Code Link to This Post


CDL CLASS A WANTED
30% from Gross
Newer 2019 KW T680, manual 12 speed, fridge, microwave, TV, orthopedic mattress
1099
3 Yers verifiable experience
NO tickets, NO accidents, Clean MVR
Dry Van
PLEASE TEXT YOUR NAME AND POSITION. WE WILL CALL YOU BACK. Thank you.
","
compensation: 88888

employment type: full-time

"
14,Gas Station cashier,Pasadena,Feb  8,https://houston.craigslist.org/fbh/d/pasadena-gas-station-cashier/7274764339.html,"

QR Code Link to This Post


Hiring part time cashier for weekends morning and maybe one night shift during week. 

Previous experience at gas station is preferred    ","
compensation: Negotiable by experience

employment type: part-time

"
15,Massage Therapist - Licensed,Jones Rd and Louetta Rd,Feb  8,https://houston.craigslist.org/hea/d/houston-massage-therapist-licensed/7274763410.html,"

QR Code Link to This Post


At Pro Health Massage, we create the new standard in room décor and design. If you are an individual driven to helping people utilizing different massage techniques and have a desire to work in a place that supports your passion; then come talk with us. Contact Amy for an interview.

Being a part of Pro Health Massage: 
•	Earn competitive pay along with gratuities.
•	Provide part-time and full-time schedules.
•	Allows you the ability to take breaks as needed.
•	The company provides massage tables, linens, lotion, hot towels, hot stones, products, facilities, and everything you need to provide a professional therapeutic experience.
•	You will be part of a company dedicated to the well being of our clients.

Additional responsibilities include:
•	Performing professional massages within the scope of the law and licensing practice.
•	Assist in cleanliness of the rooms and facility.
•	Must have the appropriate training and education before performing any massage technique.
•	Maintain a professional appearance at all times.
•	Design specific sessions around a guest’s individual needs.
•	Creates an excellent guest experience, through a friendly and helpful attitude.
•	Must have a reliable on time attendance and works entire scheduled shift.
•	Completes client’s check-in documentation accurately and completely.
•	Promote therapeutic benefits of regular massage therapy
•	Build relationships with your clientele.
•	Educate guests about services and products.
•	Other duties as assigned.

Qualifications:
•	Hold current state license and liability insurance to practice massage therapy.
•	Capable of performing Deep Tissue, Swedish, Hot Stone, and Prenatal massage techniques is preferred.
•	Be Service-oriented and communicate effectively with clients.
•	Ability to work scheduled nights and weekends.
•	Participates in continuing education, as required by state licensing.
•	Pass background and reference check as a condition of employment.
•	Believes in the healing benefits and up-selling of massage therapy services.

Client Interactions:
•	Have a strong customer service orientation.
•	Possess the ability to communicate in an effective and professional manner.
•	Maintain client confidentiality.    ","
compensation: paid per massage plus gratuities

employment type: employee's choice

"
16,Massage Therapist - Licensed,Jones Rd and Louetta Rd,Feb  8,https://houston.craigslist.org/spa/d/houston-massage-therapist-licensed/7274763411.html,"

QR Code Link to This Post


At Pro Health Massage, we create the new standard in room décor and design. If you are an individual driven to helping people utilizing different massage techniques and have a desire to work in a place that supports your passion; then come talk with us. Contact Amy for an interview.

Being a part of Pro Health Massage: 
•	Earn competitive pay along with gratuities.
•	Provide part-time and full-time schedules.
•	Allows you the ability to take breaks as needed.
•	The company provides massage tables, linens, lotion, hot towels, hot stones, products, facilities, and everything you need to provide a professional therapeutic experience.
•	You will be part of a company dedicated to the well being of our clients.

Additional responsibilities include:
•	Performing professional massages within the scope of the law and licensing practice.
•	Assist in cleanliness of the rooms and facility.
•	Must have the appropriate training and education before performing any massage technique.
•	Maintain a professional appearance at all times.
•	Design specific sessions around a guest’s individual needs.
•	Creates an excellent guest experience, through a friendly and helpful attitude.
•	Must have a reliable on time attendance and works entire scheduled shift.
•	Completes client’s check-in documentation accurately and completely.
•	Promote therapeutic benefits of regular massage therapy
•	Build relationships with your clientele.
•	Educate guests about services and products.
•	Other duties as assigned.

Qualifications:
•	Hold current state license and liability insurance to practice massage therapy.
•	Capable of performing Deep Tissue, Swedish, Hot Stone, and Prenatal massage techniques is preferred.
•	Be Service-oriented and communicate effectively with clients.
•	Ability to work scheduled nights and weekends.
•	Participates in continuing education, as required by state licensing.
•	Pass background and reference check as a condition of employment.
•	Believes in the healing benefits and up-selling of massage therapy services.

Client Interactions:
•	Have a strong customer service orientation.
•	Possess the ability to communicate in an effective and professional manner.
•	Maintain client confidentiality.    ","
compensation: paid per massage plus gratuities

employment type: employee's choice

"
17,Hiring an Entry-Level Restaurant Manager at Gyu-Kaku in Houston!,Houston,Feb  8,https://houston.craigslist.org/fbh/d/houston-hiring-an-entry-level/7274763353.html,"

QR Code Link to This Post


With over 700 locations in Japan and a rapid growth of restaurants in the U.S, Gyu-Kaku is looking for individuals who are passionate about the restaurant industry. 

These are some qualifications to be considered a candidate:

*Restaurant Management experience preferred
*Have a passion to provide Genuine Hospitality
*Work in a fast-paced environment while maintaining great enthusiasm
*Be a team player with strong work ethics
*Have good Communication Skills
*Must have availability to work during the holiday season

Benefits:
- Quarterly Incentive Program
- Health Insurance including Medical, Dental, Vision, and Life.
- 401(k) Plan
- Company Holidays, Paid Vacation
- Future Growth Opportunities within the company


For more information about us, please visit our website www.gyu-kaku.com.

Reins International Texas Inc. (Gyu-Kaku) is an ""EQUAL EMPLOYMENT OPPORTUNITY EMPLOYER"".    ","
compensation: Competitive Salary, Incetnive Program, 401k, Health Plan benefits, Paid Vacation

employment type: full-time

"
18,"CDL CLASS A DRIVER ONLY RUN TX, LA, OK, TN, AR","Houston, TX",Feb  8,https://houston.craigslist.org/trp/d/houston-cdl-class-driver-only-run-tx-la/7274762816.html,"

QR Code Link to This Post


WE ONLY RUN GULF REGION $1300-$1800 weekly, $5000 sign on Bonus
$25.00 On time delivery Bonus
Annual Milage bonus
Pay 30% per load

Apply at Generation5trucking.com 
Call 713-806-2379    ","
compensation: $1300-1800 per week running gulf region. $25.00 on time bonus; $5000 sign on bonus; Annual Milage Bonus

employment type: full-time

"
19,Cafe Layal Servers,Midtown,Feb  8,https://houston.craigslist.org/fbh/d/houston-cafe-layal-servers/7274760366.html,"

QR Code Link to This Post


Looking for high energy and friendly waitresses. Busy restaurant with awesome tips, flexible schedule , and midtown fun environment. 


","
compensation: $$$

employment type: part-time

"
20,Join Us!! Gyu-Kaku Houston is Hiring Servers and Hosts/Hostesses!!,Houston,Feb  8,https://houston.craigslist.org/fbh/d/houston-join-us-gyu-kaku-houston-is/7274755868.html,"

QR Code Link to This Post


With over 700 locations in Japan and a rapid growth of restaurants in the U.S, Gyu-Kaku is looking for individuals who are passionate about the restaurant industry. 

We are hiring for all positions (servers and hosts/hostesses) for Gyu-Kaku Restaurant, Houston location.

These are some qualifications to be considered a candidate:

*Restaurant experience preferred
*Have a passion to provide genuine hospitality
*Work in a fast-paced environment while maintaining great enthusiasm
*Be a team player with a strong work ethic
*Have good Communication Skills
*Must have availability to work during the holiday season

For more information about us, please visit our website www.gyu-kaku.com.

Reins International Texas Inc. (Gyu-Kaku) is an ""EQUAL EMPLOYMENT OPPORTUNITY EMPLOYER"".    ","
compensation: TBA

employment type: part-time

"
21,NOW HIRING Cooks at Gyu-Kaku Willowbrook!,Houston,Feb  8,https://houston.craigslist.org/fbh/d/houston-now-hiring-cooks-at-gyu-kaku/7274755495.html,"

QR Code Link to This Post


With over 700 locations in Japan and a rapid growth of restaurants in the U.S., Gyu-Kaku is looking for individuals who are passionate about the restaurant industry. 

We are hiring for Cooks at Gyu-Kaku Japanese BBQ Restaurant at our Willowbrook location!!

These are some qualifications to be considered as a candidate:

*Restaurant experience preferred
*Have a passion to provide genuine hospitality
*Work in a fast-paced environment while maintaining great enthusiasm
*Be a team player with a strong work ethic
*Have good Communication Skills
*Must have availability to work during the holiday season

For more information about us, please visit our website www.gyu-kaku.com.

Reins International Texas Inc. (Gyu-Kaku) is an ""EQUAL EMPLOYMENT OPPORTUNITY EMPLOYER"".    ","
compensation: TBA

employment type: part-time

"
22,Gyu-Kaku Sugarland Now Hiring for Servers and Hosts/Hostesses,Sugarland,Feb  8,https://houston.craigslist.org/fbh/d/sugar-land-gyu-kaku-sugarland-now/7274755343.html,"

QR Code Link to This Post


With over 700 locations in Japan and a rapid growth of restaurants in the U.S., Gyu-Kaku is looking for individuals who are passionate about the restaurant industry. 

We are hiring servers and hosts/hostesses at Gyu-Kaku Restaurant, Sugarland location!

These are some qualifications to be considered a candidate:

*Restaurant experience preferred
*Have a passion to provide genuine hospitality
*Work in a fast-paced environment while maintaining great enthusiasm
*Be a team player with a strong work ethic
*Have good Communication Skills
*Must have availability to work during the holiday season

For more information about us please visit our website www.gyu-kaku.com.

Reins International Texas Inc. (Gyu-Kaku) is an ""EQUAL EMPLOYMENT OPPORTUNITY EMPLOYER"".    ","
compensation: TBA

employment type: part-time

"
23,Home Health Caregiver,Houston,Feb  8,https://houston.craigslist.org/hea/d/houston-home-health-caregiver/7274752809.html,"

QR Code Link to This Post


Edmondson's ILAH is seeking a Home Health Care Giver for a Living Assisted (Private Home)

Would you like to make a difference in someone life?  
Edmondson's Independent Living Assisted Home, provide a variety of  services for the elderly. Our goal is to keep seniors in my home safe and independently living. 

Job Responsibilities
Provide companionship and assistance with activities of daily living (ADL).
Part-time, Overnight and Full-time person needed

Some other duties may include:
• Light housekeeping and meal preparation,
• Medication reminders 
• Assisting with grooming, bathing, toileting, and incontinence issues

Job Requirements

Previous experience is not necessary* for this entry level role. 
Requirements*:
• High School Diploma/GED
• Valid Driver's License
• Prior experience in the health care industry is preferred, but I will train
• Experience with the elderly a plus
• Job requirements and pay/biweekly

www.edmondsonsilah.com
","
compensation: Salary for over night position Part time and Full time position is hourly

employment type: full-time

"
24,Get $1000 advance pay CDL  for OTR  and  regional,houston,Feb  8,https://houston.craigslist.org/trp/d/houston-get-1000-advance-pay-cdl-for/7274742419.html,"

QR Code Link to This Post


This is the career you deserve!

As an experienced driver with the right qualifications, you are in great demand in a fast-growing, highly competitive industry. we can take you to the next level by offering consistent freight, regular home time and an excellent pay package.CDL-A
Truck Drivers Short Haul Out &
Back Home Often Avg $2000+ per wk
Full Benefits Assigned Late Model Trucks
Minimum 2 Yr Tractor Trailer Exp Req
WHAT YOU'LL GET
60cents per mile 
Consistent Freight.
Newer Truck 2014, Fridge, Freezer,
Valued, Family-Oriented Company Atmosphere!
Regional or OTR


REQUIREMENTS
Just have a CDL 
Must meet all Federal Motor Carrier Safety Regulations.
Must have a Commercial Driver's License with the proper endorsements in state of residence.
No serious traffic violations in the past 3 years.
must know how to drive 10 speed manual freightliner cascadia
must know how to use digital log  and data system
CALL 7133305006    ","
compensation: 60 ents per mile make $ 2000 per week on OTR

employment type: employee's choice

non-profit organization

"
25,Bilingual Customer service representative,Houston,Feb  8,https://houston.craigslist.org/sls/d/houston-bilingual-customer-service/7274737067.html,"

QR Code Link to This Post


Custom tshirt printing shop on Harwin, looking for a bilingual (Spanish/English) customer service representative who is great at being organized and multitasking.  
Need to be ready for a fast paced environment and work with some fun people.  
Job will include taking on orders, processing them, and upon completion letting your customers know.  Occasional tidying up the store and helping out in the warehouse to get orders done in a timely manner.  

Open Monday thru Fridays 930-6 pm, alternating Saturdays 10-4.

Contact Samannah
email resume to us and we will be in touch    ","
compensation: Training is $8 an hour, once you're ready to work on your own we will increase the pay accordingly.

employment type: full-time

"
26,CDL DRIVERS,Cypress,Feb  8,https://houston.craigslist.org/trp/d/cypress-cdl-drivers/7274729703.html,"

QR Code Link to This Post


Kronos time logistics 
Se Solicitan choferes con licencia CDL para Reefers RUTA Texas/Ca and Team Drivers 

Nececita licencia mas de 2años 
Nececita record limpio 
Los Interesados llamar
ASAP
We need drivers CDL for Reefers' 
.60 cents per mile 
Need 2 years with CDL 
No Background records 
GOOD OPPORTUNITY TO MAKE GOOD MONEY 
IF YOU WANT MORE INFORMATIN CALL US ASAP
New inventory coming up, company in expansion    ","
compensation: In interviews

employment type: full-time

"
27,Soldador,Houston,Feb  8,https://houston.craigslist.org/lab/d/houston-soldador/7274710525.html,"

QR Code Link to This Post


Busco soldador experimentado que sea capaz de viajar. Debe tener su propia máquina de soldar y herramientas. El pago dependerá de la experiencia y las herramientas de soldadura.    ","
compensation: Determinado por la experiencia y las herramientas

employment type: full-time

"
28,"Seeking Elderly Care,  Nanny Positions,  Home Health or Chil Care with or withou",Katy,Feb  8,https://houston.craigslist.org/hea/d/katy-seeking-elderly-care-nanny/7274707169.html,"

QR Code Link to This Post


I'm s very professional individual,  I hold 4 degrees, I have been a Trauma nurse for +26 years. I have been a Nsnny in both Canada and the USA, I do home health and child care with or without disabilities. Anything else besides what I have listed, please don't contact me. My resume is given upon request. I'm looking for work in Katy to Memorial City area. Thank you.
Tracey Adams    ","
compensation: $20 or greater depending on the amount the job details.

employment type: full-time

internship

non-profit organization

relocation assistance available

telecommuting ok

"
29,Host/Hostess for Wine Bar,Houston Heights,Feb  8,https://houston.craigslist.org/fbh/d/houston-host-hostess-for-wine-bar/7274705222.html,"

QR Code Link to This Post


Sonoma Wine Bar in the Heights is now hiring a part time host/hostess to join our team.  Must have a minimum of 2 years experience (within the last 5 years) in a fine dining/high volume restaurant to apply.

Sonoma is an upscale wine bar and restaurant, known for our rotating wines by the glass and wine flights paired with a seasonal menu of small plates and cheese and charcuterie.  The Heights location has been opened for more than 8 years.

Responsibilities:
- Greet guests with a pleasant, warm welcome
- Assist guests to be seated
- Manage OpenTable reservation system
- Answer phones
- Assist with taking togo phone calls
- Assist curbside guests with togo orders
- Manage a well-seated flow of dining room
- Help clearing and setting tables when needed
- Help run food when needed
- Maintain a clean workstation 
- Be a team payer

Apply in person Tuesday thru Saturday from 3pm until 6pm at the location in the Heights.

Pay is $11.00 per hour plus tip out, averaging $15.00+ hourly.  This is a part time position working Wednesdays thru Saturdays and maybe some other days depending on business.  

For more information about the location, please refer to our website: https://www.sonomahouston.com/
","
compensation: hourly plus tips

employment type: part-time

"
30,RECEPTIONIST / LEGAL ASSISTANT,SW HOUSTON,Feb  8,https://houston.craigslist.org/lgl/d/houston-receptionist-legal-assistant/7274701250.html,"

QR Code Link to This Post


Law firm looking for a full time receptionist / legal assistant (bankruptcy experience a plus) Monday - Friday 8:30am - 5:00pm.    ","
compensation: Hourly rate varies with experience.

employment type: full-time

"
31,Soldador,Houston,Feb  8,https://houston.craigslist.org/trd/d/houston-soldador/7274700835.html,"

QR Code Link to This Post


Busco soldador experimentado que sea capaz de viajar. Debe tener su propia máquina de soldar y herramientas. El pago dependerá de la experiencia y las herramientas de soldadura.    ","
compensation: Determinado por la experiencia y las herramientas

employment type: full-time

"
32,Regional Truck Driver Class A CDL,"Houston, TX",Feb  8,https://houston.craigslist.org/trp/d/houston-regional-truck-driver-class-cdl/7274693558.html,"

QR Code Link to This Post


US TRANSPORT
We are hiring Drivers for routes based out of Houston, TX.  This position is responsible for hauling loads of dry bulk materials to customers safely and efficiently. No experience is necessary and all training will be provided. *No endorsements needed*



BENEFITS
•	Medical, Dental, Vision (CIGNA)
•	Aflac (Supplemental Insurance)
•	Company paid life insurance ($25,000) 
•	401K company match
•	7 paid holidays
•	Paid vacation
•	Health savings account. 



POSITION DETAILS
•	$1,500-$1,800 weekly average
•	Paid Orientation and Training
•	Monthly KPI Bonus ($50-250)
•	Monthly Safety Bonus ($100)
•	Paid every Friday
•	Weekly guarantee pay (safety net for the weather, truck breakdowns, customer issues)



REQUIREMENTS
•	Must be open to both Local and Regional Routes
•	Utilize a sleeper 4-5 nights per week
•	Have an active Class A CDL
•	Minimum of two years tractor trailer experience
•	Must be at least 23 years old






Or you can visit our website at:
 www.us-transport.com/





US Transport is an EEOC/AA/ADA/Veteran Employers. All eligible individuals are encouraged to apply.  ","
compensation: $1,500-$1,800 weekly average

employment type: full-time

"
33,Apartment Maintenance Tech/Makeready,houston,Feb  8,https://houston.craigslist.org/trd/d/houston-apartment-maintenance-tech/7274692411.html,"

QR Code Link to This Post


Landlord needs experience person with tools to work on 40+ houses with growing portfolio. Landlord is in rental housing business, was in Apartment business for 25+ years. Landlord is General Contractor and hands on landlord with skills and experience. Owner and partner both experienced Contractors looking for Right person or persons to join us as team member and hopefully family. Prefer hourly rate or part time payroll, but will consider by bid or contract. You have tools and experience for make ready, maintenance, and remodeling or rough make readies. We do everything on our houses. Show us your tools (or pictures). complete application and phone and/or in person interview. Future to grow in skills and real estate opportunities. Call Dennis 281-202-4161 7:30 am to 7:30 pm    ","
compensation: $14 and up, or by bid

employment type: employee's choice

"
34,Driver's Helper - General Labor,Angleton,Feb  8,https://houston.craigslist.org/lab/d/freeport-drivers-helper-general-labor/7274685556.html,"

QR Code Link to This Post


Job Description
Locations with openings.

Angelton/Alvin Texas

Responsibilities
• Moving, securing, loading, or unloading residential waste containers.
• This job requires bending over and lifting of objects.
• Some specialized tasks may require on-the job training.
• Moving items from place to place, according to direction from the waste truck drivers and site supervisor.

Qualifications & Experience
• Strong work ethic and positive attitude is a must.
• There is no minimal educational requirement, but previous labor experience is a plus.
• Verifiable work history that shows professional skills and experience.
• The ability to work as part of a team.

Additional Information
Amass Solutions is an equal opportunity employer. We do not discriminate based on race, religious affiliation, color, national origin, gender, age, marital status, sexual orientation, veteran status, or disability. We will consider for employment all qualified applicants, including those with criminal histories, in a manner consistent with the requirements of applicable state and local laws. We will get to know you and connect you with jobs that match your skills, experience, and preferences. We work hard every single day to find jobs so each employee has opportunity and variety in their work.

We Look forward to speaking with you.

Apply to join our team today!

https://www.amass-solutions.com/drivers-helper-application
https://www.amass-solutions.com/drivers-helper-application
https://www.amass-solutions.com/drivers-helper-application

","
compensation: Pay: $9.00 - $12.00 per hour based on experience and site

employment type: contract

"
